,melid,trackid,compid,recordid,performer,title,titleaddon,solopart,instrument,style,avgtempo,tempoclass,rhythmfeel,key,signature,chord_changes,chorus_count
99,100,93,87,46,Coleman Hawkins,Sophisticated Lady,,1,ts,SWING,67.6,SLOW,SWING,Ab-maj,4/4,"A1: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7 F79b ||
A2: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7911# D79b ||
B1: ||Gj7 E-7 |A-7 D7 |G7 G#o7 |A-7 D7 |Gj7 E-7 |A-7 D7 |G7 C-7 |Eb7 Cm7b5F79b||
A3: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Ab7 F79b ||
B2: ||Gj7 B-7 |A-7F7D7Eb7|G7 G#o7 |A-7G7D7F7|Gj7 E-7 |A-7 D7 |G7 C-7 |Eb7 Cm7b5F79b||
A4: ||Bb-7   |Gb7F7E7Eb7|Abj7   |Ab7G7Gb7F7|Bb7   |Bb-7 Eb7 |Abj7   |Abj7   ||
I1: ||Abj7   ||",1
100,101,94,83,47,Coleman Hawkins,Stompin' at the Savoy,,1,ts,SWING,250.2,UP,SWING,Db-maj,4/4,"A1: ||G D7G|C79   |G   |G G#o |D7   |D7   |G   |A- D7 ||
A2: ||G D7G|C79   |G   |G G#o |D7   |D7   |G   |G   ||
B1: ||C   |D7   |C G |G   |E-   |A79   |A-7 D7 |D7   ||
A3: ||G D7G|C79   |G   |G G#o |D7   |D7   |G CD|A-7 D7 ||",2
101,102,95,88,48,Curtis Fuller,Blue Train,,1,tb,HARDBOP,131.8,MEDIUM,SWING,Eb-maj,4/4,A1: ||Eb7NC  |Ab7   |Eb7   |Eb7   |Ab7   |Ab7   |Eb7   |G-7 C7 |F-7   |Bb7   |Eb7   |F-7 Bb7 ||,5
102,103,96,89,49,Curtis Fuller,Down Under,,1,tb,HARDBOP,147.4,MEDIUM UP,SWING,F#-min,4/4,A1: ||Gb-7   |Abm7b5 Db7 |Gb-7   |Gb-7   |G7   |G7   |Gb-7   |E-7 A7 |D7   |Db7   |Gb-7   |Db7   ||,2
103,104,97,90,50,David Liebman,Begin the Beguine,,1,ss,POSTBOP,120.1,MEDIUM,SWING,Bb-maj,4/4,A1: ||Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   |Bbj79   |Bbj79   |Gbj79   |Abj79   ||,1
104,105,98,91,51,David Liebman,Day & Nite,,1,ss,POSTBOP,244.9,UP,SWING,Eb-maj,4/4,"A1: ||Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ej7911#   |D/Eb   |D/Eb   ||
A2: ||Bj7911#   |Bb79b13b   |Ebj7911#   |Ebj7911#   |Bj7911#   |Bb79b13b   |Bb79b13bEbj7911#  |Ebj7911#   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ebj7911#   |D/Eb   |D/Eb   ||
B1: ||Db-7/Gb   |Db-7/Gb   |Bb-7/Eb   |Bb-7/Eb   |Db-7/Gb   |Db-7/Gb   |Bb-7/Eb   |Bb-7/Eb   |Am7b5   |Ab-7   |G-7   |Gb-7   |F-7   |Ej7911#   |D/Eb   |D/Eb   ||",4
105,106,99,92,50,David Liebman,I've Got You Under My Skin,,1,ss,POSTBOP,256.2,UP,SWING,Eb-maj,4/4,"A1: ||F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   |F-7   |Bb7   |Ebj7   |C7   ||
B1: ||F-7   |Bb7   |Ebj7   |C7   |Fm7b5   |Bb79b   |Ebj7   |Ebj7   |D-7   |G7   |Cj7   |Cj7   |F-7   |Bb7   |Ebj7   |Ebj7   ||
C1: ||F-7   |Bbsus Bb7 |Ebj7   |C79b   |F-7   |Bbsus Bb7 |Ebj7   |G7   ||
D1: ||C-7   |F-7 Bb7 |Ebj7   |C-7   |F-7   |Bb7   |Ebj7   |Bb-7 Eb7 |Abj7   |Db7   |Ebj7   |Gm7b5 C79b |F-7   |Bb7   |Ebj7   |Ebj7   ||",3
106,107,100,93,52,David Liebman,Milestones,,1,ss,POSTBOP,312.0,UP,SWING,F-maj,4/4,A1: ||G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |Db7911#   |Db7911#   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |C+7   |C+7   |A-7   |A-7   |A-7   |A-7   |A-7   |A-7   |C+7   |C+7   |C+7   |C+7   |C+7   |C+7   |C+7   |C+7   |A-7   |A-7   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |G-6/C   |F+7911#   |F+7911#   ||,3
107,108,101,94,52,David Liebman,Nica's Dream,,1,ss,POSTBOP,151.2,MEDIUM UP,LATIN,Eb-maj,4/4,"A1: ||Fm7b5   |Bb7   |Ebj7   |Ebj7   |Fm7b5   |Bb7   |Ebj7   |Ebj7   |Am7b5   |Ab-7   |G-7   |Gbo7   |F-7   |Bb7   |Ebj7   |Ebj7   ||
A2: ||Fm7b5   |Bb7   |Ebj7   |Ebj7   |Fm7b5   |Bb7   |Ebj7   |Ebj7   |Am7b5   |Ab-7   |G-7   |Gbo7   |F-7   |Bb7   |Ebj7   |Db7   ||
B1: ||Gbj7   |Gbj7   |Ebj7   |Ebj7   |Gbj7   |Gbj7   |Ebj7   |Ebj7   |Am7b5   |Ab-7   |G-7   |Gbo7   |F-7   |Bb7 F-7 |Eb6   |Eb6   ||
A3: ||Fm7b5   |Bb7   |Ebj7   |Ebj7   |Fm7b5   |Bb7   |Ebj7   |Ebj7   |Am7b5   |Ab-7   |G-7   |Gbo7   |F-7   |Bb7   |Ebj7   |Ebj7   ||
I1: ||NC   ||",1
108,109,102,95,53,David Liebman,No Greater Love,,1,ts,POSTBOP,209.1,UP,SWING,Bb-maj,4/4,"A1: ||Bbj7   |Eb7   |Ab7   |G7   |C7   |C7   |C-7   |F7   ||
A2: ||Bbj7   |Eb7   |Ab7   |G7   |C7   |C-7 F7 |Bb6   |Bb6   ||
B1: ||Am7b5 D7 |G-6   |G-6 D7 |G-6   |Am7b5 D7 |G-7   |C7   |F7   ||
A3: ||Bbj7   |Eb7   |Ab7   |G7   |C7   |C-7 F7 |Bb6   |F7   ||",2
109,110,103,96,51,David Liebman,Pablo's Story,,1,ss,POSTBOP,144.2,MEDIUM UP,LATIN/FUNK,E-min,4/4,"A1: ||E-7   |E-7   |E-7   |E-7   |D7   |D7   |D7   |D7   ||
B1: ||C7911#   |C7911#   |C7911#   |C7911#   |B79b   |Am7b5   |B/G   |F7alt   ||
C1: ||Eb/E   |D/Eb   |Eb/E   |Eb/E   |Db/D   |Db/D   |Db/D   |Db/D   ||
B2: ||C7911#   |C7911#   |C7911#   |C7911#   |Bb79b   |Am7b5   |B/G   |F7alt   ||",4
110,111,104,97,51,David Liebman,Pendulum,,1,ss,POSTBOP,258.6,UP,FUNK/SWING,F#-chrom,4/4,A1: ||F#-   ||,1
111,112,105,98,53,David Liebman,Secret Love,,1,ts,POSTBOP,272.7,UP,LATIN,Eb-maj,4/4,"A1: ||Ebj7   |F-7/Bb   |Ebj7   |F-7/Bb   |Eb7 Ab7 |G-7 C7 |F-7   |Bb7   |F-7   |Bb7   |F-7   |Bb7   |F-7   |Bb7   |Ebj7   |F-7 Bb7 ||
A2: ||Ebj7   |F-7/Bb   |Ebj7   |F-7/Bb   |Eb7 Ab7 |G-7 C7 |F-7   |Bb7   |F-7   |Bb7   |F-7   |Bb7   |F-7   |Bb7   |Ebj7   |Dm7b5 G7 ||
B1: ||C-7   |F7   |Bbj7   |Bbj7   |Bb-7   |Eb7   |Abj7   |Ab-7 Db7 ||
C1: ||Ebj7   |F-7/Bb   |Fm7b5   |C79#   |F-7   |Bb7   |Ebj7   |Ebj7   ||",3
112,113,106,99,51,David Liebman,Softly as in a Morning Sunrise,,1,ss,POSTBOP,260.7,UP,SWING,C-min,4/4,"A1: ||C-   |C-   |C-   |C-   |C-   |C-   |C-   |C-   ||
A2: ||C-   |C-   |C-   |C-   |C-   |C-   |C-   |C-   ||
B1: ||Eb79#   |Eb79#   |C79#   |C79#   |Ab7alt   |Ab7alt   |G7alt   |G7alt   ||
A3: ||C-   |C-   |C-   |C-   |C-   |C-   |C-   |C-   ||",7
113,114,107,66,53,David Liebman,There Will Never Be Another You,,1,ts,POSTBOP,151.7,MEDIUM UP,SWING,Eb-maj,4/4,"A1: ||Ebj7   |Ebj7   |Dm7b5   |G79b   |C-7   |C-7   |Bb-7   |Eb7   |Abj7   |Fm7b5 Bb7 |Ebj7   |C-7   |F7   |F7   |F-7   |Bb7   ||
B1: ||Ebj7   |Ebj7   |Dm7b5   |G79b   |C-7   |C-7   |Bb-7   |Eb7   |Abj7   |Fm7b5 Bb7 |Ebj7   |G-7 C7 |Ebj7 D7 |G7 C7 |F-7 Bb7 |Eb6 Bb7 ||",3
114,115,108,100,54,David Murray,Ask Me Now,,1,ts,POSTBOP,131.2,MEDIUM,SWING,Db-maj,4/4,"A1: ||Eb-7   |Ab   |Dbj7   |F-7 E-7 |Eb-7   |Ab7   |Dbj7   |Dbj7   |Bb-7   |Eb7   |Eb7   |Bb-7   |Eb-7   |Ab7   |Db-7   |Gb7   ||
B1: ||G-7 C7 |F#-7 B7 |F-7 Bb7 |E-7 A7 |Eb-7   |Ab7   |B7alt   |Bb7   |Eb7   |D7   |Dbj7   |Eb7   |Eb-7   |Ab7   |Db   |Db   ||",1
115,116,109,101,55,David Murray,Blues for Two,,1,ts,POSTBOP,60.4,SLOW,SWING,Bb-maj,4/4,A1: ||Bb7   |Eb7   |Bb7   |Bb7    |Eb7   |Eb7   |Bb7   |Bb7   |C7   |F7   |Bb7   |Bb7   ||,7
116,117,109,101,55,David Murray,Blues for Two,,2,ts,POSTBOP,61.3,SLOW,SWING,Bb-maj,4/4,A1: ||Bb7   |Eb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |D-7 G7 |C7   |F7   |Bb7   |Bb7   ||,1
117,118,110,75,56,David Murray,Body and Soul,,1,ts,POSTBOP,65.9,SLOW,BALLAD,Db-maj,4/4,"A1: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db6 Bb7 ||
A2: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db6 E-7A7||
B1: ||Dj7 E-7 |F#-7 G-7C7|F#-7B-7E-7A7|Dj7   |D-7 G7 |Cj7 Ebo |D-7 G7 |C7B7Bb7 ||
A3: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db6Gb7Fm7b5Bb7||
I1: ||Eb-7 Bb7 ||",1
118,119,110,75,56,David Murray,Body and Soul,,2,ts,POSTBOP,65.1,SLOW,BALLAD,Db-maj,4/4,A1: ||Eb-7 Bb7 ||,1
119,120,111,102,55,David Murray,Chelsea Bridge,,1,ts,POSTBOP,53.0,SLOW,BALLAD,Db-maj,4/4,"A1: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db6C7B7Bb7||
A2: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db  B7||
B1: ||F#-7 B7 |Ej7 G7 |F#-7 F7 |B-7 E7 |Aj7 A-7D7|Gj7   |G-7   |Db7C7B7Bb7||
A3: ||Eb7   |Db7   |Eb7 Db7 |Bb7   |Eb-7   |Ab7   |Db6   |Db6   ||
I1: ",1
120,121,112,103,57,Dexter Gordon,Cheese Cake,,1,ts,HARDBOP,220.9,UP,SWING,C-min,4/4,"A1: ||C-69   |Dm7b5 G+7 |C-69   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |G+7   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |Dm7b5 G7 ||
A2: ||C-69   |Dm7b5 G+7 |C-69   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |Dm7b5   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |C-69   ||
B1: ||G-7   |C7   |F-7   |Bb7   |Eb-7   |Ab7   |Dm7b5   |G+7   ||
A3: ||C-69   |Dm7b5 G+7 |C-7   |C7   |F-69   |C+7   |F-69   |F-69   |Dm7b5   |G+7   |F-7   |Bb7   |Eb-7 Ab7 |Dm7b5 G+7 |C-69   |C-69   ||",2
121,122,113,104,58,Dexter Gordon,Dextivity,,1,ts,BEBOP,93.2,MEDIUM SLOW,SWING,C-maj,4/4,"A1: ||C6   |D7911#   |D-7 G79b |C6Eb7D7Db7||
A2: ||C6   |D7911#   |D-7 G79b |C6   ||
B1: ||G-7 C79b |Fj7 B7 |E-7 A-7 |D-7 G7Db7||
A3: ||C6   |D7911#   |D-7 G79b |C6   ||",2
122,123,114,105,59,Dexter Gordon,Montmartre,,1,ts,HARDBOP,204.2,UP,SWING,Bb-min,4/4,"A1: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |C-7   |C-7   |Cb7   ||
A2: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |F7   |C-7 F7 |Bb-   ||
B1: ||F-7   |Bb7   |E-7 A7 |Eb7 Ab7 |F-7   |Bb7   |C-7   |F7   ||
A3: ||Bb-   |C-7 F7 |Bb-   |Cb7   |Bb-   |C-7   |C-7 F7 |Bb-   ||",4
123,124,115,106,60,Dexter Gordon,Society Red,,1,ts,HARDBOP,113.7,MEDIUM,SWING,Bb-maj,4/4,A1: ||F7   |Bb7   |F7   |F7   |Bb7   |Bb7   |F7   |D7   |G-7   |C7   |F7   |F7   ||,9
124,125,116,107,59,Dexter Gordon,Stanley the Steamer,,1,ts,HARDBOP,181.2,UP,SWING,Bb-maj,4/4,A1: ||Bb7   |Eb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |D-7 G7 |C-7   |F7   |Bb7   |F7   ||,12
125,126,117,108,59,Dexter Gordon,The Rainbow People,,1,ts,HARDBOP,120.0,MEDIUM,SWING,Eb-maj,4/4,"A1: ||Eb F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Ebj7 C7 |F-7 Bb7 ||
A2: ||Ebj7 F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Eb Db7 |B-7 E7 ||
B1: ||Bb-7   |Eb7   |Am7b5   |Ab7   |G7   |C7   |F7   |Bb7   ||
A3: ||Ebj7 F-7 |G-7 F-7 |G-7 F-7 |F#-7 B7 |F-7   |Bb7   |Eb C7 |F-7 Bb7 ||",3
126,127,39,39,16,Dickie Wells,After Theatre Jump,,1,tb,SWING,173.5,MEDIUM UP,SWING,Db-maj,4/4,"A1: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
A2: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb7 Ab7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |Ab7   ||
A3: ||Db Bb7 |Eb-7 Ab7 |F-7 Bb-7 |Eb-7 Ab7 |Ab-7 Db7 |Gb7 B7 |F-7 Bb-7 |Eb-7 Ab7 ||
I1: ||NC   ||",1
127,128,40,40,16,Dickie Wells,Destination K.C.,,1,tb,SWING,249.1,UP,SWING,C-maj,4/4,"A1: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
A2: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Ab7   |G7   ||
A3: ||C   |C   |G7   |C   |C   |C   |G7   |C   ||
I1: ||NC   ||",1
128,129,41,41,17,Dickie Wells,Dickie's Dream,,1,tb,SWING,229.4,UP,SWING,C-min,4/4,"A1: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
A2: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
B1: ||C7   |C7   |F7   |F7   |Bb7   |Bb7   |Eb7   |D- G7 ||
A3: ||C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 |C- C-/Bb |Ab G7 ||
I1: ||NC   ||",1
129,130,118,109,61,Dickie Wells,I Got Rhythm,,1,tb,SWING,243.4,UP,SWING,Bb-maj,4/4,"A1: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||
A2: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb6 G-7 |C-7 F7 |Bb6 G-7 |C-7 F7 |Bb6 Bb7 |Eb6 Eo7 |Bb6 F7 |Bb6   ||",2
130,131,119,110,61,Dickie Wells,Jo-Jo,,1,tb,SWING,183.4,UP,SWING,Bb-maj,4/4,A1: ||Bb7   |Bb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |Bb7   |C-7   |F7   |Bb7   |Bb7   ||,2
131,132,120,111,16,Dickie Wells,Six Cats and a Prince,,1,tb,SWING,217.6,UP,SWING,Bb-maj,4/4,"A1: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |F7   ||
A2: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |Bbj7   ||
B1: ||Bb7   |Bb7   |Eb7   |Eb7   |C7   |C7   |F7   |F7   ||
A3: ||Bbj7   |Bbj7   |Bo   |Bo   |C-7   |F7   |Bbj7   |Bbj7   ||
I1: ||Bbj7   ||",1
132,133,121,1,62,Dizzy Gillespie,Anthropology,,1,tp,BEBOP,245.7,UP,SWING,Bb-maj,4/4,"A1: ||Bb6 G7 |C-7 F7 |Bb6 G-7 |C7 F7 |Bb7   |Eb6 Eb-6 |D-7 G7 |C-7 F7 ||
A2: ||Bb6 G7 |C-7 F7 |Bb6 G-7 |C7 F7 |Bb7   |Eb6 Eb-6 |D-7 G7 |C-7F7Bb6 ||
B1: ||D7   |D7   |G7   |G7   |C7   |C7   |F7   |F7   ||
A3: ||Bb6 G7 |C-7 F7 |Bb6 G-7 |C7 F7 |Bb7   |Eb6 Eb-6 |D-7 G7 |C-7 F7 ||
I1: ||Bb6   ||",1
133,134,122,112,63,Dizzy Gillespie,Be-Bop,,1,tp,BEBOP,290.2,UP,SWING,F-min,4/4,"A1: ||F- Gm7b5 |F- Bb-6 |F-   |Gm7b5 C79b |F- Gm7b5 |F- Bb-6 |F-   |C7 F- ||
A2: ||F- Gm7b5 |F- Bb-6 |F-   |Gm7b5 C79b |F- Gm7b5 |F- Bb-6 |F-   |C7 F- ||
B1: ||F-7   |Bb79#   |Ebj7   |Ebj7   |Eb-7   |Ab79#   |Dbj7   |Gm7b5 C79# ||
A3: ||F- Gm7b5 |F- Bb-6 |F-   |Gm7b5 C79b |F- Gm7b5 |F- Bb-6 |F-   |C7 F- ||",3
134,135,123,113,63,Dizzy Gillespie,Blue 'n Boogie,,1,tp,BEBOP,204.4,UP,SWING,Bb-maj,4/4,A1: ||Bb7   |Bb7   |Bb7   |Bb7   |Eb7   |Eb7   |Bb7   |Bb7   |C-7   |F7   |Bb7   |Bb7   ||,4
135,136,124,114,64,Dizzy Gillespie,Cognac Blues,,1,tp,BEBOP,113.6,MEDIUM,SWING,F-maj,4/4,A1: ||F7   |Bb7   |F7   |F7   |Bb7   |Bb7   |F7   |F7   |G-7   |G-7   |F7 D-7 |G-7 C7 ||,2
136,137,125,115,63,Dizzy Gillespie,Groovin' High,,1,tp,BEBOP,181.9,UP,SWING,Db-maj,4/4,"A1: ||Ebj7   |Ebj7   |Am7b5   |D7   |Ebj7   |Ebj7   |Gm7b5   |C7   |F7   |F7   |F-7   |Bb7   |G-7   |F#-7   |F-7   |Bb7   ||
A2: ||Ebj7   |Ebj7   |Am7b5   |D7   |Ebj7   |Ebj7   |Gm7b5   |C7   |F7   |F7   |F-7   |Bb7   |F-7   |Ab-7 Db7 |Eb6   |F-7 Bb7 ||",2
137,138,126,116,63,Dizzy Gillespie,Hot House,,1,tp,BEBOP,171.1,MEDIUM UP,SWING,C-maj,4/4,"A1: ||Gm7b5   |C+7   |Fm7b5   |Bb+7   |Dm7b5   |G+7   |Cj7   |Cj7   ||
A2: ||Gm7b5   |C+7   |Fm7b5   |Bb+7   |Dm7b5   |G+7   |Cj7   |Cj7   ||
B1: ||C-7   |F7   |Bbj7   |Bbj7   |Ab7   |Ab7   |G7   |G7   ||
A3: ||Gm7b5   |C+7   |Fm7b5   |Bb+7   |Dm7b5   |G+7   |Cj7   |Cj7   ||",1
138,139,122,112,63,Don Byas,Be-Bop,,1,ts,BEBOP,288.6,UP,SWING,F-min,4/4,"A1: ||F- Gm7b5 |F-/Ab Bb-6 |F-/C   |Gm7b5 C7 |F- Gm7b5 |F-/Ab Bb-6 |F-/C   |Gm7b5 F- ||
A2: ||F-7 Gm7b5 |F-/Ab Bb-6 |F-/C   |Gm7b5 C7 |F- Gm7b5 |F-/Ab Bb-6 |F-/C   |Gm7b5 F- ||
B1: ||F-7   |Bb79#   |Ebj7   |Ebj7   |Eb-7   |Ab79#   |Dbj7   |Gm7b5 C79b ||
A3: ||F-7 Gm7b5 |F-/Ab Bb-6 |F-/C   |Gm7b5 C7 |F- Gm7b5 |F-/Ab Bb-6 |F-/C   |C7 F- ||",2
139,140,127,75,65,Don Byas,Body and Soul,,1,ts,SWING,98.6,MEDIUM SLOW,SWING,Db-maj,4/4,"A1: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db6 Bb7 ||
A2: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db A7 ||
B1: ||Dj7 E-7 |D G-7C7|F#-7B-7E-7A7|Dj7   |D-7 G7 |Cj7 Ebo |D-7 G7 |C7B7Bb7 ||
A3: ||Eb-7 Bb79b |Eb-7 D7 |Dbj7 Gb7 |F-7 Eo7 |Eb-7   |Cm7b5 F7 |Bb-7Eb7Eb-7Ab7|Db6 Bb7 ||",2
140,141,124,114,64,Don Byas,Cognac Blues,,1,ts,SWING,115.9,MEDIUM,SWING,F-maj,4/4,A1: ||F7   |Bb7   |F7   |F7   |Bb7   |Bb7   |F7   |F7   |G-7   |C7   |F7 D-7 |G-7 C7 ||,2
141,142,128,117,66,Don Byas,Harvard Blues,,1,ts,SWING,98.5,MEDIUM SLOW,SWING,Db-maj,4/4,"A1: ||Db7   |Gb7 Go |Db Db7 |Bb-7 Db7 |Gb7   |Gb7 Go |Db7   |Db7 Ao |Ab7   |Gb7   |Db7   |Db7   ||
I1: ||NC   ||",1
142,143,128,117,66,Don Byas,Harvard Blues,,2,ts,SWING,99.3,MEDIUM SLOW,SWING,Db-maj,4/4,"A1: ||Db7   |Gb7 Go |Db7   |Db7   |Gb7   |Gb7 Go |Db7   |Bb- Eb7 |Ab7   |Gb7   |Db7   |Db7   ||
I1: ||NC   ||",1
143,144,129,118,64,Don Byas,Infidele (Cry),,1,ts,SWING,120.1,MEDIUM,SWING,Bb-maj,4/4,"A1: ||Bbj7   |Bbj7   |A-7 Abo |G-7 D7/F# |G-7   |G-7   |D-7 Dbo |C-7 Bo7 ||
B1: ||C-7   |F7   |Bbj7 Ab7 |G7   |Cj7   |C-7   |F7   |C-7 F7 ||",2
144,145,130,57,66,Don Byas,Out of Nowhere,,1,ts,SWING,55.5,SLOW,BALLAD,G-maj,4/4,"A1: ||Gj7   |Gj7   |Bb-7   |Eb7   |Gj7   |Gj7   |B-7   |E79b   |A-7   |E79b   |A-7   |A-7   |Eb7   |Eb7   ||
I1: ||NC   |NC   ||",1
145,146,131,119,64,Don Byas,Un Amour Pleurait,,1,ts,SWING,106.0,MEDIUM SLOW,SWING,F-maj,4/4,"A1: ||F/C Dbo |D- G-7 |C7 G-7C7|Fj7   |Fj7 A7 |D-7 Dbo |C7 G-7C7|Fj7   ||
A2: ||F/C Dbo |D-7 G-7 |C7 G-7C7|Fj7   |A7   |D-7 Dbo |C7   |F F7 ||
B1: ||Bb   |Eb C-7 |F7 C-7F7|Bb   |Bb Do |Ebj7 Ab7 |Bb F |BbFG7C7||
C1: ||C/F Dbo |D-7 G-7 |C7   |Fj7   |A7   |D-7   |C7 G-7C7|Fj7   |Fj7  NC||",1
146,147,132,120,67,Don Ellis,I Love You,,1,tp,POSTBOP,146.9,MEDIUM UP,SWING,F-maj,,"A1: ||Gm7b5   |C79b   |Fj7   |Fj7   |G-7   |C7   |Fj7   |Fj7   ||
A2: ||Gm7b5   |C79b   |Fj7   |B-7 E7 |Aj7   |B-7 E7 |Aj7   |Aj7   ||
B1: ||G-7   |C7   |Fj7   |Fj7   |Am7b5   |D79b   |G7   |C7   ||
A3: ||Gm7b5   |C79b   |Fj7   |Am7b5 D7 |G7   |G-7 C7 |F6   |F6   ||",2
147,148,133,121,67,Don Ellis,Johnny Come Lately,,1,tp,POSTBOP,211.3,UP,SWING,G-min,4/4,"A1: ||G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |Am7b5 D7 ||
A2: ||G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |F-7 Bb7 ||
B1: ||Ebj7 F-7 |G-7 F-7 |Ebj7 F-7 |G-7 F-7 |Ebj7 F-7 |G7 C7 |F7 Bb7 |A79b D+7 ||
A3: ||G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |Eb7 D7 |G-6   |G-6   ||",2
148,149,134,57,67,Don Ellis,Out of Nowhere,,1,tp,POSTBOP,151.9,MEDIUM UP,SWING,G-maj,4/4,"A1: ||Gj7   |Gj7   |Bb-7   |Eb7   |Gj7   |Gj7   |B-7   |E79b   ||
B1: ||A-7   |E79b   |A-7   |A-7   |Eb7   |Eb7   |Dsus7   |D79b   ||
A2: ||Gj7   |Gj7   |Bb-7   |Eb7   |Gj7   |Gj7   |B-7   |E79b   ||
C1: ||A-7   |E79b   |A-7   |C-6   |B-7 Bbo |A-7 D7 |G   |G   ||",1
